x,y,z_i,q_i,on_hull
11.3423,12.5567,6,0,0
16.847,33.5335,6,0,0
13.6581,22.8283,7,-1,0
23.371,22.8301,6,0,0
31.8208,36.8457,8,-4,1
11.7796,15.787,6,0,0
20.4038,28.4307,7,-1,0
12.5652,7.79162,7,-1,0
25.227,16.5702,6,0,0
20.0689,32.5859,6,0,0
2.83975,16.5052,4,2,0
30.7129,31.7925,6,0,0
36.2689,26.9106,6,0,0
5.91202,21.7711,6,0,0
31.8118,32.7522,5,1,0
32.664,27.6833,6,0,0
29.2637,18.8989,7,-1,0
28.7634,12.395,5,1,0
32.2685,20.8536,6,0,0
34.1477,14.5312,6,0,0
21.9526,16.5733,6,0,0
34.9989,20.6826,7,-1,0
28.1331,31.3712,7,-1,0
18.7457,41.1061,4,2,0
20.8487,38.212,5,1,0
21.2421,29.6135,5,1,0
16.5378,9.49617,6,0,0
12.7904,28.8821,6,0,0
10.8698,38.9891,5,-1,1
35.0847,15.7781,7,-1,0
31.135,27.5866,5,1,0
10.1134,16.0144,6,0,0
17.5122,27.3596,7,-1,0
37.4862,27.1044,4,2,0
23.6705,5.11708,5,1,0
28.5219,8.44991,7,-1,0
18.608,13.6542,6,0,0
19.8674,10.5397,7,-1,0
17.911,4.42643,6,-2,1
34.0422,28.5285,6,0,0
20.366,26.3485,6,0,0
6.13373,25.0511,5,1,0
18.9039,31.5719,6,0,0
30.546,23.3704,6,0,0
24.8196,22.7771,6,0,0
37.5043,17.4027,6,0,0
2.02458,18.6797,4,2,0
15.5553,26.892,6,0,0
11.0075,8.65628,7,-1,0
12.1618,9.64787,6,0,0
25.6992,29.1004,7,-1,0
35.9521,31.4649,4,2,0
1.2512,24.9771,6,-2,1
27.4447,19.911,7,-1,0
12.6627,32.219,6,0,0
6.47541,15.7332,6,0,0
8.19474,8.77264,7,-1,0
14.0499,27.9681,6,0,0
35.7122,17.2861,6,0,0
12.3144,34.0179,6,0,0
23.5308,39.465,6,0,0
9.63779,29.2653,7,-1,0
22.2869,8.09352,7,-1,0
11.9882,39.1777,4,2,0
24.4983,28.0713,6,0,0
29.8868,26.6026,6,0,0
38.0103,26.0604,4,2,0
24.7116,12.1766,7,-1,0
4.23541,21.6353,5,1,0
33.0782,10.1631,5,1,0
4.30384,29.2175,7,-1,0
18.6463,21.4673,6,0,0
1.07418,22.3715,7,-3,1
18.1759,10.8926,6,0,0
22.5578,12.5167,6,0,0
35.8351,14.2001,4,2,0
26.3158,21.5036,6,0,0
19.1457,19.8412,6,0,0
13.6767,8.84193,6,0,0
38.5062,19.7792,7,-3,1
7.85465,34.6486,7,-1,0
31.9967,24.3596,6,0,0
21.9045,13.8467,6,0,0
13.585,10.5819,6,0,0
17.1374,7.9943,6,0,0
28.5147,36.0456,5,1,0
36.3162,19.0056,6,0,0
26.2327,25.7441,5,1,0
5.81489,34.2081,3,3,0
12.7849,21.0932,6,0,0
31.725,26.0697,7,-1,0
34.352,34.4545,6,-2,1
33.6522,21.5418,6,0,0
15.3792,32.8528,6,0,0
14.2209,7.14214,6,0,0
16.5058,24.425,5,1,0
27.337,28.431,6,0,0
